slug,Year,age,minutes_played,made_field_goals,attempted_field_goals,attempted_three_point_field_goals,attempted_free_throws,defensive_rebounds,turnovers,player_efficiency_rating,total_rebound_percentage,value_over_replacement_player
adamsst01,2014,20,1197,93,185,0,136,190,71,11.2,15.6,-0.1
adamsst01,2015,21,1771,217,399,2,205,324,99,14.1,15.8,0.3
adamsst01,2016,22,2014,261,426,0,196,314,84,15.5,14.4,1.1
adamsst01,2017,23,2389,374,655,1,257,332,146,16.5,14.2,1.1
adamsst01,2018,24,2487,448,712,2,286,301,128,20.6,15.3,2.0
adebaba01,2018,20,1368,174,340,7,179,263,66,15.7,15.6,0.6
adebaba01,2019,21,1913,280,486,15,226,432,121,17.9,16.6,1.8
adebaba01,2020,22,2417,440,790,14,382,559,204,20.3,17.0,3.3
adebaba01,2021,23,2143,456,800,8,354,431,169,22.7,15.3,3.7
adebaba01,2022,24,1825,406,729,6,340,427,148,21.8,17.5,2.7
allengr01,2019,23,416,67,178,99,60,20,33,7.5,3.0,-0.5
allengr01,2020,24,718,117,251,141,45,77,33,12.0,6.2,0.1
allengr01,2021,25,1259,173,414,274,91,141,48,12.8,6.7,0.6
allengr01,2022,26,1805,255,569,389,74,190,43,12.7,6.5,1.1
allengr01,2023,27,1972,245,557,366,126,176,72,12.3,6.3,1.0
allento01,2005,23,1262,184,387,31,152,136,77,14.7,10.2,0.7
allento01,2006,24,978,129,274,34,134,79,67,12.9,6.9,0.1
allento01,2007,25,805,133,259,33,134,89,75,17.0,9.2,0.6
allento01,2008,26,1373,169,389,57,181,134,109,10.7,7.3,0.1
allento01,2009,27,887,137,284,27,109,82,77,12.9,7.1,0.5
aminual01,2011,20,1452,160,406,143,119,192,103,9.6,10.8,-0.3
aminual01,2012,21,1477,150,365,47,114,213,91,10.6,12.4,-0.1
aminual01,2013,22,2066,225,474,19,137,446,116,13.7,16.9,1.0
aminual01,2014,23,2045,234,494,48,137,367,88,13.2,14.1,0.7
aminual01,2015,24,1366,147,357,124,118,228,55,14.4,13.7,1.0
anderky01,2015,21,358,31,89,11,14,67,10,8.2,11.4,0.1
anderky01,2016,22,1245,138,295,37,83,219,59,12.9,11.2,1.1
anderky01,2017,23,1020,93,209,40,57,175,39,12.5,11.5,1.0
anderky01,2018,24,1978,231,438,57,146,312,94,15.9,11.1,2.4
anderky01,2019,25,1281,150,276,34,64,203,58,12.8,11.0,0.9
antetgi01,2014,19,1897,173,418,118,202,261,122,10.8,10.2,-0.2
antetgi01,2015,20,2541,383,780,44,347,442,173,14.8,12.2,1.2
antetgi01,2016,21,2823,513,1013,109,409,499,208,18.8,12.4,2.9
antetgi01,2017,22,2845,656,1259,180,612,558,234,26.1,14.3,6.7
antetgi01,2018,23,2756,742,1402,140,641,597,223,27.3,16.0,5.7
anunoog01,2018,20,1481,163,346,197,62,140,45,10.0,7.0,0.5
anunoog01,2019,21,1352,183,404,202,62,139,55,9.8,7.9,-0.1
anunoog01,2020,22,2066,286,566,228,102,284,79,13.2,9.3,1.7
anunoog01,2021,23,1433,249,519,261,102,183,75,15.4,9.1,1.2
anunoog01,2022,24,1728,309,697,317,118,190,80,14.8,8.3,1.1
asikom01,2011,24,989,78,141,0,145,194,64,11.8,18.1,0.1
asikom01,2012,25,971,79,156,0,103,223,68,13.4,20.1,0.3
asikom01,2013,26,2464,332,614,1,299,681,173,14.9,22.0,0.3
asikom01,2014,27,968,101,190,0,126,277,59,14.0,21.7,0.1
asikom01,2015,28,1982,213,412,0,225,504,95,15.5,21.4,0.4
aytonde01,2019,20,2183,509,870,4,189,506,126,20.5,18.5,1.2
aytonde01,2020,21,1236,310,568,13,89,289,80,20.0,19.6,0.7
aytonde01,2021,22,2115,430,687,20,173,499,103,20.3,19.5,1.7
aytonde01,2022,23,1713,442,697,19,142,444,91,21.9,18.6,2.1
aytonde01,2023,24,2035,522,887,24,200,495,120,19.9,18.1,1.5
babbilu01,2011,21,137,15,55,16,9,24,8,1.0,13.4,-0.3
babbilu01,2012,22,537,71,173,100,20,79,27,11.3,10.3,0.0
babbilu01,2013,23,730,86,234,178,13,122,22,9.4,10.9,-0.1
babbilu01,2014,24,473,60,154,95,18,70,15,12.1,10.8,0.1
babbilu01,2015,25,830,92,192,115,19,99,26,11.1,7.6,0.3
balllo01,2018,20,1780,203,564,295,71,291,136,12.5,10.8,1.3
balllo01,2019,21,1423,185,456,228,48,197,103,11.7,9.1,0.6
balllo01,2020,22,2025,277,687,395,76,312,193,13.1,10.0,1.3
balllo01,2021,23,1747,290,700,455,64,230,123,15.2,8.2,1.6
balllo01,2022,24,1212,162,383,260,28,155,82,14.5,8.8,1.4
bareajo01,2007,22,191,28,78,21,24,18,14,9.6,7.9,-0.2
bareajo01,2008,23,460,71,170,54,35,43,35,11.7,5.9,0.0
bareajo01,2009,24,1600,246,557,154,93,141,105,13.4,6.4,0.2
bareajo01,2010,25,1546,232,527,157,90,129,102,12.8,5.4,0.3
bareajo01,2011,26,1669,285,649,189,157,130,136,14.8,5.6,0.6
bargnan01,2007,21,1629,267,625,268,142,203,107,12.8,9.2,0.1
bargnan01,2008,22,1861,280,725,261,169,238,88,10.6,9.2,-0.8
bargnan01,2009,23,2453,431,958,291,266,346,135,14.6,10.0,0.7
bargnan01,2010,24,2799,537,1143,325,234,388,120,15.5,10.4,0.9
bargnan01,2011,25,2353,525,1173,223,350,269,152,16.4,8.6,0.4
bassbr01,2006,20,268,28,70,0,19,50,11,9.1,15.1,-0.2
bassbr01,2007,21,162,15,44,1,16,30,10,7.2,15.3,-0.1
bassbr01,2008,22,1557,246,493,4,197,227,82,15.9,12.9,0.6
bassbr01,2009,23,1574,252,508,6,210,238,86,16.4,13.4,0.2
bassbr01,2010,24,648,119,233,0,63,73,31,16.5,11.3,0.2
batumni01,2009,20,1454,161,361,168,52,136,50,12.9,9.4,1.2
batumni01,2010,21,918,139,268,132,51,109,27,17.3,9.5,1.4
batumni01,2011,22,2522,367,807,342,164,252,83,14.8,8.8,2.0
batumni01,2012,23,1791,289,641,274,159,190,90,17.3,8.8,2.0
batumni01,2013,24,2807,352,833,444,210,315,190,15.7,8.5,3.4
baynear01,2013,26,141,18,36,1,12,20,11,8.8,13.1,-0.2
baynear01,2014,27,491,71,163,0,21,88,36,9.7,16.6,-0.5
baynear01,2015,28,1122,185,327,4,104,209,65,15.9,16.1,0.1
baynear01,2016,29,1233,194,384,2,165,244,67,17.8,17.0,0.6
baynear01,2017,30,1163,143,279,0,94,222,50,13.1,15.6,-0.2
bealbr01,2013,19,1745,282,687,236,159,168,90,13.6,6.7,1.0
bealbr01,2014,20,2530,481,1149,343,189,219,128,14.3,6.3,1.0
bealbr01,2015,21,2107,363,851,259,166,184,123,14.0,6.4,1.1
bealbr01,2016,22,1708,359,799,271,176,147,112,15.5,6.2,1.0
bealbr01,2017,23,2684,637,1322,552,342,187,156,20.1,5.0,3.5
beaslmi01,2009,20,2009,452,957,81,241,329,121,17.2,13.1,0.1
beaslmi01,2010,21,2328,468,1040,102,240,375,131,16.1,12.6,0.7
beaslmi01,2011,22,2361,561,1246,164,291,291,195,15.5,9.6,0.1
beaslmi01,2012,23,1087,221,497,101,95,168,80,13.0,10.6,0.0
beaslmi01,2013,24,1554,310,766,144,126,230,144,10.8,10.3,-1.1
bellch01,2002,22,42,3,11,6,2,2,5,-2.2,5.4,-0.1
bellch01,2002,22,2,0,0,0,0,1,0,7.6,27.8,0.0
bellch01,2006,26,1283,180,410,168,89,99,41,14.7,5.6,0.9
bellch01,2007,27,2848,426,974,361,168,181,104,13.1,4.9,0.5
bellch01,2008,28,1628,185,486,217,87,136,76,10.9,6.0,-0.2
bembrde01,2017,22,371,47,98,18,16,45,16,8.8,8.7,-0.1
bembrde01,2018,23,455,53,128,30,33,64,47,7.6,8.8,-0.3
bembrde01,2019,24,1931,275,616,173,136,304,142,10.7,9.7,-0.2
bembrde01,2020,25,915,104,228,65,48,118,60,9.6,8.9,-0.1
bembrde01,2021,26,972,117,228,53,66,113,71,11.2,8.3,0.0
beverpa01,2013,24,713,79,189,96,41,64,44,15.4,8.7,1.0
beverpa01,2014,25,1751,199,481,255,102,124,66,12.4,6.2,1.2
beverpa01,2015,26,1727,204,532,323,60,170,83,11.3,7.6,0.9
beverpa01,2016,27,2041,258,594,310,88,177,91,13.0,6.8,1.1
beverpa01,2017,28,2058,228,543,288,95,298,100,13.0,10.4,1.6
biedran01,2005,18,384,45,78,1,40,71,12,14.8,16.7,0.0
biedran01,2006,19,1000,118,185,0,72,159,34,13.6,15.8,0.1
biedran01,2007,20,2382,348,581,0,167,511,119,16.2,17.5,1.0
biedran01,2008,21,2078,340,543,0,187,488,85,19.2,19.1,1.6
biedran01,2009,22,1863,308,533,1,216,470,110,19.1,20.2,1.5
biyombi01,2012,19,1455,129,278,0,143,255,71,10.6,14.5,-1.0
biyombi01,2013,20,2186,156,346,0,142,388,82,10.1,15.2,-1.3
biyombi01,2014,21,1072,88,144,0,89,261,40,13.3,19.3,0.2
biyombi01,2015,22,1243,101,186,0,175,248,52,15.2,18.0,0.3
biyombi01,2016,23,1808,156,288,1,226,473,71,14.9,20.8,0.8
blairde01,2010,20,1494,275,495,2,161,326,112,17.7,20.6,0.5
