slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totals,Year
abdulma02,Mahmoud Abdul-Rauf,[<Position.POINT_GUARD: 'POINT GUARD'>],31,Team.VANCOUVER_GRIZZLIES,41,486,16.7,0.514,0.057,0.118,1.2,4.7,2.9,32.7,1.0,0.1,9.1,26.8,0.7,0.0,0.7,0.07,1.1,-2.1,-1.0,0.1,False,2001
abdulta01,Tariq Abdul-Wahad,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26,Team.DENVER_NUGGETS,29,420,5.8,0.438,0.09,0.324,3.6,11.8,7.6,8.1,1.7,2.1,21.1,17.1,-0.7,0.3,-0.4,-0.049,-5.6,-0.3,-5.8,-0.4,False,2001
abdursh01,Shareef Abdur-Rahim,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24,Team.VANCOUVER_GRIZZLIES,81,3241,19.1,0.549,0.05,0.415,6.2,19.6,13.0,14.3,1.5,1.6,13.2,24.6,5.6,2.9,8.5,0.126,1.7,0.1,1.8,3.1,False,2001
alexaco01,Cory Alexander,[<Position.POINT_GUARD: 'POINT GUARD'>],27,Team.ORLANDO_MAGIC,26,227,6.3,0.407,0.286,0.321,0.0,12.5,6.1,23.5,3.6,0.0,28.1,17.3,-0.5,0.3,-0.1,-0.031,-7.2,1.2,-6.0,-0.2,False,2001
alexaco02,Courtney Alexander,[<Position.POINT_GUARD: 'POINT GUARD'>],23,Team.DALLAS_MAVERICKS,38,472,6.8,0.404,0.056,0.253,4.9,9.9,7.5,6.9,1.7,0.5,9.6,21.1,-0.5,0.4,-0.1,-0.013,-5.5,-0.8,-6.2,-0.5,False,2001
alexaco02,Courtney Alexander,[<Position.POINT_GUARD: 'POINT GUARD'>],23,Team.WASHINGTON_WIZARDS,27,910,14.2,0.519,0.091,0.266,2.8,7.6,5.1,8.6,1.7,0.2,10.9,24.3,0.9,0.1,0.9,0.048,-0.8,-2.5,-3.3,-0.3,False,2001
allenra02,Ray Allen,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,Team.MILWAUKEE_BUCKS,82,3129,22.9,0.61,0.357,0.299,3.7,11.8,7.8,20.4,2.1,0.5,12.1,24.4,11.5,2.2,13.7,0.211,5.7,-0.3,5.5,5.9,False,2001
alstora01,Rafer Alston,[<Position.POINT_GUARD: 'POINT GUARD'>],24,Team.MILWAUKEE_BUCKS,37,288,12.1,0.429,0.357,0.155,1.6,10.6,6.1,34.6,2.4,0.0,18.2,17.2,0.1,0.2,0.3,0.055,-1.6,-0.5,-2.1,0.0,False,2001
amaecjo01,John Amaechi,[<Position.CENTER: 'CENTER'>],30,Team.ORLANDO_MAGIC,82,1710,8.7,0.455,0.012,0.471,4.9,12.7,8.7,7.0,0.8,1.2,14.8,21.7,-1.3,1.4,0.0,0.001,-4.3,-1.8,-6.1,-1.7,False,2001
anderde01,Derek Anderson,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26,Team.SAN_ANTONIO_SPURS,82,2859,17.1,0.542,0.255,0.405,3.1,10.9,7.2,18.1,2.2,0.3,12.4,21.9,5.6,4.3,9.9,0.166,1.2,1.2,2.4,3.2,False,2001
anderke01,Kenny Anderson,[<Position.POINT_GUARD: 'POINT GUARD'>],30,Team.BOSTON_CELTICS,33,849,12.2,0.476,0.145,0.313,2.1,8.2,5.0,26.5,2.7,0.2,16.8,16.6,0.4,0.7,1.1,0.063,-1.9,-0.1,-2.0,0.0,False,2001
anderni01,Nick Anderson,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],33,Team.SACRAMENTO_KINGS,21,169,6.4,0.333,0.684,0.0,2.0,13.7,8.0,11.0,3.0,1.6,10.9,16.7,-0.3,0.3,0.0,-0.011,-4.6,1.4,-3.2,-0.1,False,2001
andersh01,Shandon Anderson,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27,Team.HOUSTON_ROCKETS,82,2396,11.9,0.528,0.288,0.319,3.6,12.3,8.0,12.5,1.8,1.2,16.3,15.4,1.9,2.0,3.9,0.078,-1.1,0.7,-0.4,0.9,False,2001
anthogr01,Greg Anthony,[<Position.POINT_GUARD: 'POINT GUARD'>],33,Team.PORTLAND_TRAIL_BLAZERS,58,856,12.0,0.525,0.628,0.138,3.0,5.4,4.3,14.8,2.5,0.3,13.8,16.9,0.9,0.7,1.6,0.09,0.0,0.1,0.1,0.5,False,2001
