slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,Year,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totals
abdulma02,Mahmoud Abdul-Rauf,[<Position.POINT_GUARD: 'POINT GUARD'>],31,Team.VANCOUVER_GRIZZLIES,41,0,486,120,246,4,14,22,29,5,20,76,9,1,26,50,266,2001,16.7,0.514,0.057,0.118,1.2,4.7,2.9,32.7,1.0,0.1,9.1,26.8,0.7,0.0,0.7,0.07,1.1,-2.1,-1.0,0.1,False
abdulta01,Tariq Abdul-Wahad,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26,Team.DENVER_NUGGETS,29,12,420,43,111,4,10,21,36,14,45,22,14,13,34,54,111,2001,5.8,0.438,0.09,0.324,3.6,11.8,7.6,8.1,1.7,2.1,21.1,17.1,-0.7,0.3,-0.4,-0.049,-5.6,-0.3,-5.8,-0.4,False
abdursh01,Shareef Abdur-Rahim,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24,Team.VANCOUVER_GRIZZLIES,81,81,3241,604,1280,12,64,443,531,175,560,250,90,77,231,238,1663,2001,19.1,0.549,0.05,0.415,6.2,19.6,13.0,14.3,1.5,1.6,13.2,24.6,5.6,2.9,8.5,0.126,1.7,0.1,1.8,3.1,False
alexaco01,Cory Alexander,[<Position.POINT_GUARD: 'POINT GUARD'>],27,Team.ORLANDO_MAGIC,26,0,227,18,56,4,16,12,18,0,25,36,16,0,25,29,52,2001,6.3,0.407,0.286,0.321,0.0,12.5,6.1,23.5,3.6,0.0,28.1,17.3,-0.5,0.3,-0.1,-0.031,-7.2,1.2,-6.0,-0.2,False
alexaco02,Courtney Alexander,[<Position.POINT_GUARD: 'POINT GUARD'>],23,Team.DALLAS_MAVERICKS,38,6,472,62,178,3,10,33,45,20,43,21,16,3,21,76,160,2001,6.8,0.404,0.056,0.253,4.9,9.9,7.5,6.9,1.7,0.5,9.6,21.1,-0.5,0.4,-0.1,-0.013,-5.5,-0.8,-6.2,-0.5,False
alexaco02,Courtney Alexander,[<Position.POINT_GUARD: 'POINT GUARD'>],23,Team.WASHINGTON_WIZARDS,27,18,910,177,395,14,36,90,105,22,58,41,29,2,54,63,458,2001,14.2,0.519,0.091,0.266,2.8,7.6,5.1,8.6,1.7,0.2,10.9,24.3,0.9,0.1,0.9,0.048,-0.8,-2.5,-3.3,-0.3,False
allenra02,Ray Allen,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,Team.MILWAUKEE_BUCKS,82,82,3129,628,1309,202,467,348,392,101,327,374,124,20,204,192,1806,2001,22.9,0.61,0.357,0.299,3.7,11.8,7.8,20.4,2.1,0.5,12.1,24.4,11.5,2.2,13.7,0.211,5.7,-0.3,5.5,5.9,False
alstora01,Rafer Alston,[<Position.POINT_GUARD: 'POINT GUARD'>],24,Team.MILWAUKEE_BUCKS,37,2,288,30,84,8,30,9,13,4,27,68,13,0,20,27,77,2001,12.1,0.429,0.357,0.155,1.6,10.6,6.1,34.6,2.4,0.0,18.2,17.2,0.1,0.2,0.3,0.055,-1.6,-0.5,-2.1,0.0,False
amaecjo01,John Amaechi,[<Position.CENTER: 'CENTER'>],30,Team.ORLANDO_MAGIC,82,36,1710,237,592,0,7,176,279,77,191,74,28,29,124,175,650,2001,8.7,0.455,0.012,0.471,4.9,12.7,8.7,7.0,0.8,1.2,14.8,21.7,-1.3,1.4,0.0,0.001,-4.3,-1.8,-6.1,-1.7,False
anderde01,Derek Anderson,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26,Team.SAN_ANTONIO_SPURS,82,82,2859,413,993,101,253,342,402,75,288,301,120,14,165,188,1269,2001,17.1,0.542,0.255,0.405,3.1,10.9,7.2,18.1,2.2,0.3,12.4,21.9,5.6,4.3,9.9,0.166,1.2,1.2,2.4,3.2,False
